engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,owned_candidate_materialization_ns,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,prism_lookup_calls,prism_lookup_ns,prism_lookup_codes,abi_c_string_allocations,abi_c_string_bytes,abi_c_string_allocation_ns,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,upstream_sentence_model_index_build_calls,upstream_sentence_model_index_build_ns,upstream_sentence_model_exact_range_index_hits,upstream_sentence_model_exact_range_index_misses,upstream_sentence_model_prefix_filter_hits,upstream_sentence_model_prefix_filter_misses,upstream_sentence_model_prefix_filter_early_breaks,upstream_sentence_model_reachable_starts_visited,upstream_sentence_model_unreachable_starts_skipped,upstream_sentence_model_phrase_index_walk_calls,upstream_sentence_model_phrase_index_nodes_visited,upstream_sentence_model_phrase_index_entry_ranges_emitted,upstream_sentence_model_partition_point_fallback_calls,upstream_sentence_model_graph_rebuild_calls,upstream_sentence_model_graph_rebuild_ns,upstream_sentence_model_incremental_reuse_hits,upstream_sentence_model_incremental_extend_ns,upstream_sentence_model_incremental_discarded_rebuild_chars,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,47,10,10,42490900,30,42396600,20,20,1100,65,700,5400,18400,300,3200,65,0,5,1,4500,5,1,600,10,0,50,150,10,200,65,209,0,0,10,12100,0,10,62600,20,0,0,0,0,10,10,209,35200,1688,7,134,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42191300,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1460700,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,48,10,10,42226400,30,42099700,20,20,1300,65,1300,8600,22700,300,3100,65,0,5,1,5100,5,1,800,10,0,50,150,10,200,65,209,0,0,10,11900,0,10,46400,20,0,0,0,0,10,10,209,40900,1688,7,134,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41909900,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1595800,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,49,10,10,42842600,30,42742600,20,20,1500,65,700,6600,16100,300,2700,65,0,5,1,4600,5,1,600,10,0,50,150,10,200,65,209,0,0,10,10500,0,10,45700,20,0,0,0,0,10,10,209,33100,1688,7,134,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42559700,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1481700,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,50,10,10,41462700,30,41389200,20,20,700,65,500,4500,14000,400,3600,65,0,5,1,4200,5,1,300,10,0,50,150,10,200,65,209,0,0,10,10000,0,10,46400,20,0,0,0,0,10,10,209,31400,1688,7,134,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41215400,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1329100,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,51,10,10,41531700,30,41449600,20,20,1300,65,700,5000,15000,200,2700,65,0,5,1,4500,5,1,800,10,0,50,150,10,200,65,209,0,0,10,10100,0,10,41500,20,0,0,0,0,10,10,209,33100,1688,7,134,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41282700,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1367400,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,52,10,10,41517400,30,41444200,20,20,800,65,700,4400,14500,500,2600,65,0,5,1,4000,5,1,200,10,0,50,150,10,200,65,209,0,0,10,9400,0,10,42300,20,0,0,0,0,10,10,209,30100,1688,7,134,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41276000,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1325000,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,53,10,10,42367000,30,42280700,20,20,1300,65,700,5500,14900,100,3100,65,0,5,1,4200,5,1,600,10,0,50,150,10,200,65,209,0,0,10,9900,0,10,39700,20,0,0,0,0,10,10,209,35200,1688,7,134,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42117800,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1375900,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,54,10,10,41945700,30,41865200,20,20,1000,65,500,4500,16000,200,2700,65,0,5,1,3900,5,1,200,10,0,50,150,10,200,65,209,0,0,10,9700,0,10,76900,20,0,0,0,0,10,10,209,34600,1688,7,134,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41660100,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1389500,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,55,10,10,41734300,30,41642900,20,20,1000,65,700,6400,15100,100,2800,65,0,5,1,4700,5,1,600,10,0,50,150,10,200,65,209,0,0,10,9300,0,10,41600,20,0,0,0,0,10,10,209,35800,1688,7,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41474300,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1389800,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,56,10,10,44745400,30,44655800,20,20,1000,65,1000,5500,17300,400,2500,65,0,5,1,4900,5,1,600,10,0,50,150,10,200,65,209,0,0,10,9800,0,10,42500,20,0,0,0,0,10,10,209,35600,1688,7,134,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44481100,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1427800,0,0,108,0,0,0,0,0,0,0,0
