engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,owned_candidate_materialization_ns,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,prism_lookup_calls,prism_lookup_ns,prism_lookup_codes,abi_c_string_allocations,abi_c_string_bytes,abi_c_string_allocation_ns,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,upstream_sentence_model_index_build_calls,upstream_sentence_model_index_build_ns,upstream_sentence_model_exact_range_index_hits,upstream_sentence_model_exact_range_index_misses,upstream_sentence_model_prefix_filter_hits,upstream_sentence_model_prefix_filter_misses,upstream_sentence_model_prefix_filter_early_breaks,upstream_sentence_model_reachable_starts_visited,upstream_sentence_model_unreachable_starts_skipped,upstream_sentence_model_phrase_index_walk_calls,upstream_sentence_model_phrase_index_nodes_visited,upstream_sentence_model_phrase_index_entry_ranges_emitted,upstream_sentence_model_partition_point_fallback_calls,upstream_sentence_model_graph_rebuild_calls,upstream_sentence_model_graph_rebuild_ns,upstream_sentence_model_incremental_reuse_hits,upstream_sentence_model_incremental_extend_ns,upstream_sentence_model_incremental_discarded_rebuild_chars,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,39,61,61,11017000,183,10871600,11058,61,2800,52,1800,16600,24300,1300,2400,52,0,0,1,1400,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,2005300,5260,118,1108400,5798,0,0,4834,118,0,0,118,28000,4716,2,124,300,57,336800,1880,1823,272200,0,57,9000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,200200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,40,61,61,10999000,183,10850600,11058,61,3000,52,1600,16400,24600,1700,2500,52,0,0,1,1600,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,2004700,5260,118,1112900,5798,0,0,4834,118,0,0,118,23600,4716,2,124,200,57,337200,1880,1823,273100,0,57,8400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,200500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,41,61,61,10967800,183,10825700,11058,61,3100,52,1500,16700,22700,1000,1900,52,0,0,1,1500,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1983600,5260,118,1105400,5798,0,0,4834,118,0,0,118,22700,4716,2,124,300,57,334900,1880,1823,271900,0,57,8900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,200300,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,42,61,61,10997000,183,10856400,11058,61,2900,52,1400,16500,22200,1900,2100,52,0,0,1,1300,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1994400,5260,118,1111100,5798,0,0,4834,118,0,0,118,22300,4716,2,124,200,57,335600,1880,1823,271300,0,57,9100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199900,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,43,61,61,10992400,183,10853100,11058,61,2700,52,1400,16600,22200,1400,2000,52,0,0,1,1400,0,1,0,61,0,305,915,4,80,52,10840,0,57,4834,2002200,5260,118,1108600,5798,0,0,4834,118,0,0,118,23100,4716,2,124,400,57,335600,1880,1823,272000,0,57,9500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,44,61,61,10984700,183,10844100,11058,61,3000,52,1700,16000,21800,1600,2200,52,0,0,1,1000,0,1,0,61,0,305,915,4,80,52,10840,0,57,4834,2005600,5260,118,1113000,5798,0,0,4834,118,0,0,118,24500,4716,2,124,0,57,334800,1880,1823,272000,0,57,8900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198100,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,45,61,61,10989300,183,10850200,11058,61,2800,52,1800,16100,22000,1500,1600,52,0,0,1,1200,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,2000400,5260,118,1116000,5798,0,0,4834,118,0,0,118,22600,4716,2,124,100,57,334100,1880,1823,272400,0,57,9500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,197900,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,46,61,61,11000200,183,10862300,11058,61,2600,52,1700,16300,21100,1100,1600,52,0,0,1,900,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,2001100,5260,118,1121400,5798,0,0,4834,118,0,0,118,23500,4716,2,124,200,57,335600,1880,1823,271900,0,57,9200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,47,61,61,11004400,183,10859600,11058,61,3600,52,1300,16800,27300,1900,1600,52,0,0,1,1100,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,2005500,5260,118,1120400,5798,0,0,4834,118,0,0,118,23500,4716,2,124,200,57,335100,1880,1823,270200,0,57,9700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,48,61,61,11054900,183,10906900,11058,61,3500,52,1300,16500,28900,1000,2400,52,0,0,1,1800,0,1,0,61,0,305,915,4,80,52,10840,0,57,4834,1991500,5260,118,1133200,5798,0,0,4834,118,0,0,118,33100,4716,2,124,200,57,339400,1880,1823,271900,0,57,8800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198600,0,0,0,0,0,0
