engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,29535.300,29535.300,11165696,11186176,unavailable,14110720,4145152,4014080,unavailable,4014080,4014080,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,29179.700,29179.700,11186176,11104256,unavailable,14110720,4014080,3211264,unavailable,3211264,3211264,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,35495.900,35495.900,11104256,11161600,unavailable,14110720,3211264,3268608,unavailable,3268608,3268608,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,28170.900,28170.900,11161600,11096064,unavailable,14110720,3268608,3203072,unavailable,3203072,3203072,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,31779.600,31779.600,11096064,11091968,unavailable,14110720,3203072,3190784,unavailable,3190784,3190784,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,30535.600,30535.600,11091968,11149312,unavailable,14110720,3190784,3244032,unavailable,3244032,3244032,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,30448.600,30448.600,11149312,11247616,unavailable,14110720,3244032,4108288,unavailable,4108288,4108288,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,30512.800,30512.800,11247616,11161600,unavailable,14110720,4108288,4038656,unavailable,4038656,4038656,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,47,1,30801.300,30801.300,11161600,11177984,unavailable,14110720,4038656,3284992,unavailable,3284992,3284992,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,48,1,32700.200,32700.200,11177984,11173888,unavailable,14110720,3284992,3289088,unavailable,3289088,3289088,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,49,1,31085.200,31085.200,11173888,11194368,unavailable,14110720,3289088,3305472,unavailable,3305472,3305472,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,50,1,33102.000,33102.000,11194368,11116544,unavailable,14110720,3305472,3567616,unavailable,3567616,3567616,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,51,1,31050.500,31050.500,11116544,11231232,unavailable,14110720,3567616,3686400,unavailable,3686400,3686400,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,52,1,32872.300,32872.300,11231232,11235328,unavailable,14143488,3686400,3473408,unavailable,3473408,3473408,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,53,1,32807.700,32807.700,11235328,11145216,unavailable,14143488,3473408,3248128,unavailable,3248128,3248128,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,54,1,31899.200,31899.200,11145216,11276288,unavailable,14143488,3248128,3727360,unavailable,3727360,3727360,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,55,1,34769.200,34769.200,11276288,11124736,unavailable,14143488,3727360,3575808,unavailable,3575808,3575808,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,56,1,30581.200,30581.200,11161600,11194368,unavailable,14155776,3645440,3330048,unavailable,3330048,3330048,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,57,1,40050.600,40050.600,11194368,11132928,unavailable,14155776,3330048,3473408,unavailable,3473408,3473408,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,58,1,37204.600,37204.600,11132928,11149312,unavailable,14155776,3473408,3284992,unavailable,3284992,3284992,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,59,1,96832.000,96832.000,11149312,11091968,unavailable,14155776,3284992,3227648,unavailable,3227648,3227648,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,0,1,24.400,24.400,12230656,12234752,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,1,1,22.400,22.400,12234752,12234752,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,2,1,21.200,21.200,12234752,12234752,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,3,1,22.600,22.600,12234752,12234752,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,4,1,21.400,21.400,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,5,1,20.600,20.600,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,6,1,20.600,20.600,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,7,1,20.700,20.700,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,8,1,20.700,20.700,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,9,1,20.800,20.800,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,10,1,20.400,20.400,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,11,1,21.000,21.000,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,12,1,29.200,29.200,12238848,12238848,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,13,1,20.700,20.700,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,14,1,20.600,20.600,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,15,1,20.400,20.400,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,16,1,20.600,20.600,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,17,1,20.600,20.600,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,18,1,20.500,20.500,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,19,1,20.400,20.400,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,20,1,20.400,20.400,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,21,1,20.400,20.400,12242944,12242944,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,22,1,20.600,20.600,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,23,1,20.200,20.200,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,24,1,20.600,20.600,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,25,1,20.600,20.600,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,26,1,20.500,20.500,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,27,1,20.200,20.200,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,28,1,20.300,20.300,12247040,12247040,unavailable,14155776,4325376,4325376,unavailable,4325376,4325376,6356992
