engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,key_sequence_process_with_context,zhongguo,13,8,1452.800,181.600,21131264,21135360,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,14,8,1452.900,181.613,21135360,21110784,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,15,8,1440.600,180.075,21110784,21118976,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,16,8,1444.700,180.588,21118976,21114880,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,17,8,1458.800,182.350,21114880,21114880,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,18,8,1473.200,184.150,21114880,21299200,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,19,8,1447.900,180.988,21299200,21295104,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,20,8,1431.300,178.913,21295104,21131264,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,21,8,1488.600,186.075,21131264,21315584,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,22,8,1447.900,180.988,21315584,21299200,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,23,8,1450.400,181.300,21299200,21282816,0,22437888
librime-1.17.0,key_sequence_process_with_context,zhongguo,24,8,1527.200,190.900,21282816,21319680,0,22437888
