"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","35","1","26700.700","26700.700","10649600","10534912","unavailable","13615104","3383296","3489792","unavailable","3489792","3489792","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","36","1","27627.400","27627.400","10534912","10739712","unavailable","13615104","3489792","3678208","unavailable","3678208","3678208","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","37","1","30204.900","30204.900","10739712","10649600","unavailable","13627392","3678208","3371008","unavailable","3371008","3371008","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","38","1","28432.800","28432.800","10649600","10641408","unavailable","13627392","3371008","3358720","unavailable","3358720","3358720","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","39","1","27604.200","27604.200","10641408","10502144","unavailable","13627392","3358720","3686400","unavailable","3686400","3686400","6578176"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","40","1","27300.400","27300.400","10506240","10543104","unavailable","13627392","3686400","3268608","unavailable","3268608","3268608","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","41","1","27497.200","27497.200","10543104","10678272","unavailable","13639680","3268608","3407872","unavailable","3407872","3407872","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","42","1","27596.100","27596.100","10678272","10502144","unavailable","13639680","3407872","3457024","unavailable","3457024","3457024","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","43","1","27625.200","27625.200","10502144","10608640","unavailable","13639680","3457024","3530752","unavailable","3530752","3530752","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","44","1","27567.400","27567.400","10608640","10539008","unavailable","13639680","3530752","3260416","unavailable","3260416","3260416","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","45","1","26725.500","26725.500","10539008","10534912","unavailable","13639680","3260416","3256320","unavailable","3256320","3256320","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","46","1","26108.000","26108.000","10534912","10539008","unavailable","13639680","3256320","3715072","unavailable","3715072","3715072","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","47","1","27879.000","27879.000","10539008","10682368","unavailable","13639680","3715072","3416064","unavailable","3416064","3416064","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","48","1","28376.200","28376.200","10682368","10674176","unavailable","13639680","3416064","3407872","unavailable","3407872","3407872","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","49","1","26483.800","26483.800","10674176","10510336","unavailable","13639680","3407872","3231744","unavailable","3231744","3231744","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","50","1","26312.700","26312.700","10510336","10600448","unavailable","13639680","3231744","3321856","unavailable","3321856","3321856","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","51","1","27380.200","27380.200","10600448","10764288","unavailable","13639680","3321856","3727360","unavailable","3727360","3727360","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","52","1","27150.300","27150.300","10764288","10530816","unavailable","13639680","3727360","3252224","unavailable","3252224","3252224","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","53","1","29204.400","29204.400","10530816","10620928","unavailable","13639680","3252224","3350528","unavailable","3350528","3350528","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","54","1","29836.400","29836.400","10620928","10678272","unavailable","13639680","3350528","3399680","unavailable","3399680","3399680","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","55","1","29942.300","29942.300","10678272","10747904","unavailable","13639680","3399680","3678208","unavailable","3678208","3678208","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","56","1","33487.900","33487.900","10784768","10616832","unavailable","13639680","3739648","3502080","unavailable","3502080","3502080","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","57","1","28725.800","28725.800","10616832","10616832","unavailable","13639680","3502080","3371008","unavailable","3371008","3371008","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","58","1","28701.400","28701.400","10616832","10760192","unavailable","13639680","3371008","3571712","unavailable","3571712","3571712","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","59","1","27404.000","27404.000","10760192","10829824","unavailable","13639680","3571712","3588096","unavailable","3588096","3588096","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","0","1","21.900","21.900","12103680","12107776","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","1","1","21.400","21.400","12107776","12107776","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","2","1","21.400","21.400","12107776","12107776","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","3","1","21.400","21.400","12107776","12107776","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","4","1","20.700","20.700","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","5","1","20.600","20.600","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","6","1","20.800","20.800","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","7","1","20.500","20.500","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","8","1","20.600","20.600","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","9","1","20.300","20.300","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","10","1","20.300","20.300","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","11","1","20.500","20.500","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","12","1","20.300","20.300","12111872","12111872","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","13","1","20.300","20.300","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","14","1","20.400","20.400","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","15","1","20.300","20.300","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","16","1","20.200","20.200","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","17","1","20.300","20.300","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","18","1","20.500","20.500","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","19","1","20.300","20.300","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","20","1","20.300","20.300","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","21","1","20.300","20.300","12115968","12115968","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","22","1","20.200","20.200","12120064","12120064","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","23","1","20.200","20.200","12120064","12120064","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","24","1","20.400","20.400","12120064","12120064","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","25","1","20.200","20.200","12120064","12120064","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","26","1","20.300","20.300","12120064","12120064","unavailable","13643776","4706304","4706304","unavailable","4706304","4706304","6586368"
