engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,8,7,7,11103000,21,11046500,13954,62,53,500,1900,33300,200,1300,53,0,0,1,1600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,1959200,5277,10,1681700,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,9,7,7,11190600,21,11119800,13954,62,53,200,1900,45300,200,1400,53,0,0,1,2000,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1970900,5277,10,1717600,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,10,7,7,11303900,21,11223300,13954,62,53,400,2300,52100,0,1500,53,0,0,1,2100,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1962900,5277,10,1733200,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,11,7,7,11277200,21,11196900,13954,62,53,100,1800,50200,300,1300,53,0,0,1,2000,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,1965200,5277,10,1724400,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,12,7,7,11330700,21,11244400,13954,62,53,200,2000,58200,400,1300,53,0,0,1,1800,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1968800,5277,10,1748600,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,13,7,7,11289600,21,11218800,13954,62,53,700,2000,45300,300,1500,53,0,0,1,2100,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1961700,5277,10,1717100,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,14,7,7,11347800,21,11276800,13954,62,53,100,2200,45900,200,1400,53,0,0,1,2000,0,1,500,7,0,35,105,4,80,53,12930,0,3,4729,1980800,5277,10,1758500,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,15,7,7,11286100,21,11221100,13954,62,53,200,1900,40100,200,1600,53,0,0,1,1700,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,1983200,5277,10,1717100,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,16,7,7,11238400,21,11175800,13954,62,53,400,1800,38300,0,1700,53,0,0,1,2100,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1977600,5277,10,1726900,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,17,7,7,11185100,21,11120400,13954,62,53,200,1600,40300,0,1400,53,0,0,1,2100,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1943300,5277,10,1709800,8677,0,0,4729,10,0,0,2,16
